,Unnamed: 0,location,tiplabel,Family,Subfamily,n,range,alt_max,alt_mid,alt_min,dry_weight,body_length,wing_length,CTmax,CTmin,CTrange,range_1,range(%),alt_max(%),alt_min(%),Tmax,Tmin,Tmean,DTR
72,5,SJ,Limacodidae_Limacodinae,Limacodidae,Limacodinae,45,1004,1864,1295.0,860,0.098604651,17.595,17.92227273,47.9,-3.5,51.4,1004.000001,0.3049817739975698,0.4489402697495183,0.2071290944123314,28.14745119,17.59178938,21.31704196,10.55566181
73,6,SJ,Notodontidae_Phalerinae,Notodontidae,Phalerinae,12,1140,2000,1295.0,860,0.177808333,24.90166667,28.97545455,46.7,-2.2,48.9,1140.000001,0.3462940461725395,0.4816955684007707,0.2071290944123314,28.14745119,17.59178938,21.31704196,10.55566181
74,7,SJ,Crambidae_Spilomelinae,Crambidae,Spilomelinae,33,1742,2602,1295.0,860,0.011328571,13.35655172,13.8969697,47.3,-4.8,52.1,1742.000001,0.5291616038882139,0.6266859344894027,0.2071290944123314,28.14745119,17.59178938,21.31704196,10.55566181
75,8,SJ,Pyralidae_Epipaschiinae,Pyralidae,Epipaschiinae,15,1004,1864,1394.5,860,0.028,13.814,14.92533333,48.2,-1.9,50.1,1004.000001,0.3049817739975698,0.4489402697495183,0.2071290944123314,27.65256317,17.30723693,21.10438878,10.34532624
76,9,SJ,Pyralidae_Pyralinae,Pyralidae,Pyralinae,45,1996,2856,1579.5,860,0.025890909,12.99365854,16.19688889,48.5,-3.8,52.3,1996.000001,0.606318347509113,0.6878612716763006,0.2071290944123314,26.14303543,16.5313591,20.27820493,9.611676329
77,10,SJ,Sphingidae_Macroglossinae,Sphingidae,Macroglossinae,21,1140,2000,1647.5,860,0.369357143,40.74,42.95095238,48.1,3.1,45.0,1140.000001,0.3462940461725395,0.4816955684007707,0.2071290944123314,25.4738438,16.21354911,19.86153326,9.260294686
78,11,SJ,Erebidae_Arctiinae,Erebidae,Arctiinae,412,2719,3579,1864.0,860,0.031557214,12.62423267,18.68793612,47.9,-5.5,53.4,2719.000001,0.8259416767922235,0.8619942196531792,0.2071290944123314,24.25199036,15.45168026,18.8414152,8.8003101
79,12,SJ,Geometridae_Ennominae,Geometridae,Ennominae,447,2940,3800,1864.0,860,0.02998345,15.01208333,21.37375281,49.8,-5.6,55.4,2940.000001,0.8930741190765492,0.9152215799614644,0.2071290944123314,24.25199036,15.45168026,18.8414152,8.8003101
80,13,SJ,Geometridae_Geometrinae,Geometridae,Geometrinae,71,1140,2000,1864.0,860,0.021995714,12.96532258,18.09887324,49.5,-6.5,56.0,1140.000001,0.3462940461725395,0.4816955684007707,0.2071290944123314,24.25199036,15.45168026,18.8414152,8.8003101
81,14,SJ,Geometridae_Sterrhinae,Geometridae,Sterrhinae,33,2315,3175,1864.0,860,0.006554839,9.7152,13.68060606,48.5,-5.8,54.3,2315.000001,0.7032199270959902,0.7646917148362236,0.2071290944123314,24.25199036,15.45168026,18.8414152,8.8003101
82,15,SJ,Drepanidae_Drepaninae,Drepanidae,Drepaninae,46,1362,2856,1932.0,1494,0.015076087,10.7415,19.07630435,46.9,-5.2,52.1,1362.000001,0.413730255164034,0.6878612716763006,0.3598265895953757,24.03514735,15.27744882,18.6046463,8.757698528
83,16,SJ,Noctuidae_Agaristinae,Noctuidae,Agaristinae,30,1362,2856,2000.0,1494,0.069926667,20.51433333,27.77433333,47.2,-1.4,48.6,1362.000001,0.413730255164034,0.6878612716763006,0.3598265895953757,23.50245652,14.45967391,17.88322468,9.042782609
84,17,SJ,Lasiocampidae_Lasiocampinae,Lasiocampidae,Lasiocampinae,13,1579,3579,2000.0,2000,0.058938462,15.21615385,18.50153846,46.9,-3.1,50.0,1579.000001,0.4796476306196841,0.8619942196531792,0.4816955684007707,23.50245652,14.45967391,17.88322468,9.042782609
85,18,SJ,Erebidae_Lymantriinae,Erebidae,Lymantriinae,79,2430,3290,2000.0,860,0.033684737,13.83581081,18.90987013,48.7,-5.1,53.8,2430.000001,0.7381530984204131,0.7923892100192679,0.2071290944123314,23.50245652,14.45967391,17.88322468,9.042782609
86,19,SJ,Notodontidae_Spataliinae,Notodontidae,Spataliinae,21,2719,3579,2000.0,860,0.069405,18.599,19.96666667,47.1,-2.5,49.6,2719.000001,0.8259416767922235,0.8619942196531792,0.2071290944123314,23.50245652,14.45967391,17.88322468,9.042782609
